Id;Sentiment;Text Tweet
32;negative;Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq
33;negative;Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc  #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam
34;negative;Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?
35;negative;JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.
36;negative;Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY
37;negative;ahoker masih bully #AHY
38;negative;Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini
39;negative;setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt
40;negative;pakai sedotan atau sodetan versi #AHY
41;negative;Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi
42;negative;Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP
43;negative;secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy
44;negative;Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub
45;negative;Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022
46;negative;Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok
47;negative;Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY
48;negative;blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!
49;negative;Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!
50;negative;Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017
51;negative;Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.
52;negative;#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?
53;negative;Jangan tanya aku. aku sekeluarga pemilih #AHY. Kalau program DP 0% nyata. aku sekeluarga milih #3. https://twitter.com/totonih/status/
54;negative;#AHY-Sylvi, Anies-Sandiaga, Basuki-Djarot, Debat Pilkada DKI 2017, Jangan Jual Mimpi Demi Jadi Gubernur...
55;negative;ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?
56;negative;Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY
57;negative;Aku bangga jadi anak memo. #AHY #moshing
58;negative;Pendukung #AHY sulit melupakan bully2 seperti ini
59;negative;pantas saja #AHY hancur
60;negative;anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy
61;negative;#AHY, antasari, konferensi pers sby, sby, Konferensi Pers SBY seperti Rengekan Anak Kecil
62;negative;Tim yang tidak pernah tidur #ahy
63;negative;Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik
64;negative;Kasihan #AHY ,, Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.
65;negative;amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati
66;negative;Pada Pilkada DKI, AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.
67;negative;AHY masih mentah tapi mau dikarbit demokrat, melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja
68;negative;Akibat pernyataan Antasari, suara AHY melorot pada Pilkada DKI.
69;negative;Enam bulan kampanye pilkada di kubu AHY, pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri
70;negative;(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.
71;negative;AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf
72;negative;Ketika AHY kalah & berpidato, semua timnya terdiam menangis, lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf
73;negative;sejujurnya penilaian subyektif saya, terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal, tapi catatan negatif.
74;negative;Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya
75;negative;tolak ahy yang berpolitik membawa agama #AHYMaininSARA
76;negative;Astaga ini pendukung AHY tidak terima sekali dengan hasil survey,harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro
77;negative;Sah-sah aja, Justru itu menjadi tolak ukur kedewasaan warga dki, kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY
78;negative;Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau
79;negative;Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya
80;negative;tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY
81;negative;Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada
82;negative;AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.
83;negative;kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang, darah hantu diminum setan #pilkadadki
84;negative;Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu, karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK
85;negative;Dengan Suara Bergetar, AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G  #pilkadadki
86;negative;AHY Kalah di Kandang, Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki
87;negative;lini pertahanan AHY rapuh debat efek, aksi 112 efek dan Antasari efek #pilkadaDKI
88;negative;Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW  #headlines #politikbirokrasi #pilkadadki
89;negative;AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI
90;negative;Berdasarkan survey sementara, AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI
91;negative;Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI
92;negative;Kasihan AHY kalah walaupun sudah umroh, dibantu doa 7 juta umat.Ternyata Allah itu netral, tidak berpolitik #PilkadaDKI
93;negative;Jual baju bekas AHY, baru 3 bulan, PM for info #PilkadaDKI @AgusYudhoyono
94;negative;AHY siap siap jadi vocalis BAND rock yaaaa, lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount
95;negative;Kasian benar nasib AHY, karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak
96;negative;Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI
97;negative;Saya bertanya kepada Bapak Presiden, TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*
98;negative;Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017
99;negative;Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres
100;negative;"heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy	"
101;negative;Yang pilih #AHY semoga tidak  ikut demokrat yaa kalau benar mau dukung Ahok.
102;negative;Demokrat ke Ahok, Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv
103;negative;Mesin robot #AHY-Sylvi lupa dimatiin, jadi masih masuk trending topik
104;negative;Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????
105;negative;Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi, tapi demi kepentingan rakyat sendiri. #TetapAHY
106;negative;Maksud hati caper dari ahy/silvy, eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>
107;negative;AHY bisa kok menang pilgub DKI, bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI
108;negative;Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI
109;negative;AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua, Ahok-Djarot vs Anies-Sandi.
110;negative;AHY nyungsep , orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI
111;negative;Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki  @Metro_TV
112;negative;AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€? http://dlvr.it/PGqY
113;negative;AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.
114;negative;#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>
115;negative;AHY hanya membicarakan negatif saja untuk Jakarta, tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI
116;negative;Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7  via @beritasatu #JakartaAdalahKita
117;negative;Ya Alloh Tuhan YME, AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi
118;negative;menemukan Foto seperti ini, Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>
119;negative;wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>
120;negative;Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>
121;negative;#AHY AniesHilangYa.. #AhokDjarotDiRosi. <Grimacing Face> <Grimacing Face> @KompasTV @Rosianna766Hi @SittaYohag @gunawanahokers @gUNJKT_ @PartaiSocmed @ulinyusron
122;negative;#AHY Anies Hilang Ya di debat @KompasTV #ahokdjarotdirosi <Grimacing Face> <Grimacing Face> @Takviri @WahhabiCC @embah72 @gerilyapolitik @cagubnyinyir @kangdede78
123;negative;2.mesti nyuruh mantan pemilih #AHY-#Sylvi buat pilih paslon #Anies-#Sandi !!! <Face With Open Mouth> <THUMBS UP> <OK HAND> <FOLDED HANDS> <Thinking Face> <Smiling Face With Sunglasses> https://twitter.com/RestySeterah/status
124;negative;1.Kenape kagak dilawan ama pasangan #AHY-#DickyChandra buat Pilgub Jabar ??? Cuma Demokrat emang hrs tegas dulu buat Pilgub DKI, <Thinking Face> <Thinking Face> <Thinking Face>
125;negative;Gara2 kemaren #AHY pake seragam hitam2 ??? <Thinking Face> <Thinking Face> <Thinking Face> <Smiling Face With Open Mouth & Closed Eyes> <Smiling Face With Sunglasses> https://twitter.com/NetizenTofa/status/841350678345736192 …
126;negative;ya pastilah #FPI kan tidak suka sama Ahok jadi pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi <Grimacing Face>
127;negative;ahoker masih bully #AHY
128;negative;@ZaraZettiraZZ @NetizenTofa @ndoro__putri ada ahoker masih ngebully program #AHY <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY> <FACE WITH TEARS OF JOY>
129;negative;Kirim ke aku saja Kaosnya... #AHY sejati <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>
130;negative;#ahy <Frowning Face>
131;negative;#AHY,humor,lagu, Kisah Sedih AHY di Balik Lagu Jatuh Bangun  <Frowning Face> <Frowning Face>
132;negative;#AHY,Cuitan Hati SBY,Cuitan SBY, jokowi, mantan, mantan terindah,Pilgub DKI 2017  <Tongue> <Tongue>
133;negative;Owalah, kasihan kamu, Dik. Semoga kamu tidak jadi orang miskin, ya. Aamiin <THUMBS UP>  #AHY selalu dihati  <Tongue> 
134;negative;Aku bangga jadi anak memo.  <Tongue>   <Face With Stuck-Out Tongue & Closed Eyes>  <FACE WITH TEARS OF JOY>    #AHY #moshing
135;negative;Pendukung #AHY sulit melupakan bully2 seperti ini <Thumbs Down>
136;negative;Versi #3 video #AHYANGaruk2Kepala terlihat bingung bicara banjir, kota apung  <Face With Stuck-Out Tongue & Closed Eyes>  di atas, permukaan tanah dan air, bikin bengong <Smiling Face With Open Mouth & Closed Eyes>
137;negative;Ahokers mendadak #AHY ?? Gak salah tuh?? Sesuatu banget !!  <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes> <Face With Stuck-Out Tongue & Closed Eyes>
138;negative;HOAX kok tidakada habis2nya...  Foto 4 hari sebelum pencoblosan...fotonya tidak HOAX.. tulisanya penuh dusta! <Angry Face>
139;negative;Deklarasi ini sepihak. Tanpa konsultasi dan persetujuan AHY.
140;negative;@Syahrir_Lantoni sudah kena telikung sekarang nama #AHY dibajak pula? <Face With Stuck-Out Tongue & Closed Eyes>
141;negative;Meski saya tak pilih #AHY, kok rasanya mules ya dengan kontestasi politik putaran 2 #politikpalsu cuih  <Pig Nose> <Pig Nose>
142;negative;Pak @SBYudhoyono jangan biarkan pengorbanan dan perjuangan #AHY , Kita #Lawan Rezim Koplak ini ! #nunggu komando.  <Fire>  <Fire>
143;negative;Jadi gak sampai hati ketika mencermatinya ! Mungkin ada penyusup masuk tidak terpantau <Person Bowing> oleh team #AHY
144;negative;Ayo pendukung AHY Dukung penggembosmu <Tongue> <Fire> <Fire>
145;negative;Suara #ahy bakal direbuntukan. Apakah pak @basuki_btp mau melanjuntukan program yang di usung pak @AgusYudhoyono sepertinya tidak .  <Expressionless Face>
146;negative;@SBYudhoyono tweet anda yang justru kontraproduktif terhadap #AHY pak. <Zipper-Mouth Face> <Zipper-Mouth Face> <Zipper-Mouth Face>
147;negative;#AHY #SBY #Jakarta #Jatim #Jabar #Presiden #NgopiSore Mau ke Mana AHY Setelah Nyungsep di Jakarta? @tribunmedan
148;negative;Suara #AHY rusak gara-gara nyanyian si AA PeKa ini, moga SBY bisa bikin dia jeblos penjara sampai pupus disana !!! #GueGeram  <Face With Steam From Nose>
149;negative;awas banyak mendadak baik, metamorfosis dari kecebong brubah jd anjing penjilat #AHY & #AniesSandi  <OK HAND> <Clapping Hands>
150;negative;Sekarang tinggal tunggu sikap #AHY terhadap manuver agus   <Clapping Hands>  <Face With Cold Sweat> <Face With Cold Sweat>
151;positive;Doa ku.. Semoga suaranya mas Agus-Sylvi beneran ke #Badja #PilkadaDKI2017 yakin kan mas Agus.. Aku pada mu..
152;positive;Terima kasih mas @AgusYudhoyono, karenamu anak muda telah berani menyuarakan perubahan. Kami tetap bersamamu #YNWA
153;positive;KETEMU DI ISTIQLAL Bangga Pernah Jadi Bagian Dari @AgusYudhoyono dan @sylviana_murni @ZaraZettiraZr @AhyCenter @SohibAHY
154;positive;Tersingkir dari kancah pilkada DKI, rupanya ada cara lain untuk mengangkat seseorang #AHY Mendunia
155;positive;Dalam Pilkada DKI, AHY juga mampu menunjukkan kualitasnya sebagai seorang pemimpin muda yang berjiwa ksatria. (AHY mendunia)
156;positive;usai pilkada DKI AHY keliling Nusantara merajut Persatuan #Indonesia bukan cuma Jakarta!
157;positive;(12) AHY justru menitipkan pentingnya menjaga pluralisme, kebangsaan dan kesatuan dalam persaingan Pilkada. Persatuan lebih penting.
158;positive;AHY memang kalah di pilkada tetapi MENANG di hati rakyat.
159;positive;Dari pada pendukung Ahok berantem terus. Mending kaya pendukung AHY membuat kopdar biar makin luas siapa tau jadi calon lagi
160;positive;Menurut AHY, Pilkada DKI memberi hikmah, pelajaran, ujian dan tantangan yang dapat ia ambil. Semua itu dapat mematangkan karakternya#AIMAN
161;positive;@AgusYudhoyono Semangat terus Pak AHY, faktor kekalahan pada pilkada waktu kemarin itu adalah wakil Pak AHY, nanti maju lagi, insyaAlloh.
162;positive;kalau dilihat upaya Demokrat mengenalkan AHY cukup berhasil di Pilkada Jakarta, dan sekarang AHY sudah mulai blusukan ke seluruh Indonesia
163;positive;@AHY prinsip kepemimpinan, memenangkan sebuah Pilkada, belajar terus dan sangat dinamis. @hildathawilla @Panti_silaban
164;positive;Pilihan warga jkt Mayoritas bukan pada ahok, tapi calon selain ahok, terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies
165;positive;Lewat Akun Instagram, AHY Ucapkan Selamat Kepada Paslon Pemenang Pilkada DKI Jakarta
166;positive;Menyeberangi Selat Malaka. Aiman KompasTV yang mendapat kesempatan pertama mewawancarai AHY usai Pilkada DKI @Rosianna766Hi
167;positive;AHY Sebut Pilkada DKI Berjalan Bermartabat
168;positive;Salam kagum buat AHY. Masih muda, berani pensiun dini, berani menantang ahok di pilkada, disaat semua pada takut, termasuk @ridwankamil
169;positive;Pilkada DKI berdoa AHY menang. Mudah-mudahan Anies Sandi yang menang.
170;positive;soal mental kalah Pilkada, Indonesia harus berguru pada sosok AHY.
171;positive;LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,
172;positive;sehabis pilkada,pileg dan pilpres saya harap AHY menjadi ketua DPR @AgusYudhoyono
173;positive;Sebentar lagi kita lupakan kegilaan pilkada DKI. Mari berlari bersama AHY. Kita mulai dari Kepri 23 April
174;positive;Saya bilang PASTI MENANG karena bentuk keyakinan akan keberhasilan goal goal LAIN dari IMPROVISASI politik Pak SBY & Pak AHY,di Pilkada DKI.
175;positive;semoga Anies menang pilkada dan AHY jadi presiden Indonesia 2019 Aamiin YRA klop dah!@AgusYudhoyono
176;positive;@SBYudhoyono setelah pilkada DKI, AHY jadi sangat diperhitungkan. Diharapkan dia bisa menjadi pemimpin RI selanjutnya
177;positive;saya pikir target AHY dalam pilkada kemarin adalah untuk membangun sentimen positif
178;positive;Jadi, tolong hargai sikap saya dan beberapa pendukung AHY yang memilih bersikap netral di putaran kedua Pilkada DKI 2017 ini.
179;positive;Pilkada Rasa Pilkades kata mas @panca66 tidak ada AHY tidak rame
180;positive;di pilkada putaran pertama kemarin saya membuat kaos AHY sendiri untuk dibagi-bagikan dilingkungan saya Utan Kayu Jaktim.
181;positive;tetap semangat dukung AHY-Sylvi sampai pilkada terlaksana, yakin dan tentukan pilihan anda kepada yang pro rakyat.
182;positive;Salah satu cara AHY-Silvy menang pilkada itu mudah. Ibu silvy naik mio tidak memakai helm keliling komplek saat pemilihan Dijamin pada segan
183;positive;Maju terus AHY-Silvy dan Anies-Sandi BerSATU bersama menangkan pilkada DKI #pilihpemimpinmuslim #Debat2PilkadaDKI
184;positive;Kita tunggu kualitas jiwa Anies Sandi..apa ucapan atas peran suara loyalis AHY-Silvy dalam kemenangan pilkada ini #BasukiKeokMasukBui
185;positive;Terimakasih AHY-SILVY, tanpa kalian jakarta tidak akan mempunyai gubernur baru
186;positive;saya lebih ke #AgusSilvy
187;positive;Cakeeepppp....#bersatunya pendukung #AniesSandi dan #agussilvy
188;positive;Jangan lupa pilih paslon no. 1 #AgusSilvy #ForRI1 https://twitter.com/Ruchan_JKT48/status/830605267070902274
189;positive;Sinyal Positif Agus-Sylvi Merapat ke Anies-Sandi #PilkadaDKIJakarta #agussilvy https://www.harianbernas.com/berita-32894-Sinyal-Positif
190;positive;@ArainsanR @fadlizon @AhyFansclub @AniesSandiNo3 @Gerindra @PDemokrat SIAP RAPATKAN BARISAN SEMUA! SATU KOMANDO #agussilvy
191;positive;@AhyFansclub Kalau putaran 2 ,, SIAP RAPAT KAN BARISAN SEMUA ! SATU KOMANDO ! #aniessandi #agussilvy
192;positive;Mengakui kekalahan, apapun itu tujuannya tapi great applause lah. Patut ditiru untuk demokrasi yang positif #AgusSilvy
193;positive;Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI
194;positive;baru quick count,Ttp kalau hasil kpud benar sampai 2putaran SIAP RAPAT KAN BARISAN SEMUA! SATU KOMANDO! #aniessandi #agussilvy
195;positive;youtu.be/bxrZD69u61A  tenang, bening, ..dan tulus. Mas Agus, mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy
196;positive;Mari beri masukan & kritik yang membangun bagi yang kalah dalam pertandingan. #PilkadaSerentak2017 #ahokdjarot #agussilvy #AniesSandi
197;positive;Apapun hasilnya kau tetap kebanggaan kami #AgusSilvy
198;positive;Ingat, fokus dan menangkan #AHY #AgusYudhoyono #RakernasDemokrat2017 #DemokratKelilingNusantara @AgusYudhoyono @SBYudhoyono
199;positive;Rakernas Partai Demokrat bersama AHY #ahy #partaidemokrat #lombok #gilitrawangan #mataramâ€? https://www.instagram.com/p/BTzMrEdliY4/
200;positive;Alhamdulillah.... #AHY tersambut hangat, mesra dan intim di NTB.
201;positive;Ngawal Abang dulu keliling Ampenan #AHY #fkppi #kawal #bodyguard #military #myjob https://www.instagram.com/p/BTySqVcjLv5/
202;positive;Ada apa dengan #AHY knp disetiap acara nya massa membludak?Krn rakyat melihat harapan utk AHY memimpin negara ini dimasa yg dtg. #AHYforAll
203;positive;Kekalahan adalah sukses yg tertunda, bukan untuk disesali tapi dijadikan pengalaman tuk lebih baik lagi di masa depan #AHY
204;positive;Tandatangan petisi Stop Hoax dan Fitnah serta mendukung gerakan Kebebasan Pers tanpa Hoax dan fitnah. #AHY #Demokrat #demokratbersamarakyat
205;positive;#AHY#Demi.Indonesia
206;positive;mestinya ya begitu ya Gus....#AHY negarawan.
207;positive;Demokrat dengan cinta, untuk NKRI, #AHY dan #Demokrat berbakti.
208;positive;#Karanganbungaahok jagoan kalah duluan ...klu gitu #Ahy dong jagoannya bukan ahok
209;positive;#ahy
210;positive;Pesan #AHY jangan lupa gembira dan cinta Indonesia
211;positive;Salam untuk kaum muda. Hormat pada yang tua. #AHY
212;positive;#AHY#TheNextLeader#AHY#AdalahKita
213;positive;Mau jalan di tempat atau berlari menyongsong masa depan dari sekarang? #AHY menyongsong masa depan
214;positive;"Langkah ""Kuda"" Agus Yudhoyono -> https://goo.gl/95ldom  #AHY #SBY #PartaiDemokrat #Pilakada #DKIJakarta"
215;positive;Datang tampak muka pulang tampak punggung. Terima kasih Kepri #DemokratKelilingNusantara #AHY
