created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 13:50:11 +0000 2023;1696520626847256997;"Kenapa ga dari dulu 😭😭 Ga adil 😮‍💨";0;1;1;6;in;1261684748528697350;1696475810465816588;nona_vonee;https://twitter.com/nona_vonee/status/1696520626847256997
Tue Aug 29 11:42:41 +0000 2023;1696488539519852934;"PAK THESIS MAGISTER SEKALIAN PAAAKKK YUK BISA YUUKK";0;0;0;2;in;155827593;1696475810465816588;kaorumitoma97;https://twitter.com/kaorumitoma97/status/1696488539519852934
Tue Aug 29 11:46:58 +0000 2023;1696489616394826030;"Tapi nanti ngga ada yg bisa di kenang. Yang udah lulus masih suka flashback perjuangan skripsian";4;11;1;35;in;4884094553;1696475810465816588;Fottify;https://twitter.com/Fottify/status/1696489616394826030
Tue Aug 29 12:08:30 +0000 2023;1696495037625040982;"Wahhh berarti ga wajib lagi ya, buat yang kuliah harusnya ini menolong ya";0;5;0;19;in;1350533526;1696475810465816588;filcadet;https://twitter.com/filcadet/status/1696495037625040982
Tue Aug 29 12:12:35 +0000 2023;1696496061202997507;"Mending sekalian universitas di hapuskan Percuma lu semua kuliah kalo baca judul doang tanpa tau isinya dah ngamok2";0;0;0;0;in;1408120395694166021;1696475810465816588;aryuno_;https://twitter.com/aryuno_/status/1696496061202997507
Tue Aug 29 12:19:35 +0000 2023;1696497823603159141;"kenapa peraturan dirubahnya pas saya udah lulus pak 😭";0;3;0;10;in;2506839517;1696475810465816588;selevianaa;https://twitter.com/selevianaa/status/1696497823603159141
Tue Aug 29 12:13:59 +0000 2023;1696496416913498390;"Tak diwajibkan guys bukan ditiadakan.";0;0;0;0;in;1604318309373313024;1696475810465816588;diftonks;https://twitter.com/diftonks/status/1696496416913498390
Tue Aug 29 12:19:50 +0000 2023;1696497885662286262;"Syarat kelulusan di luar negeri juga tidak hanya skripsi. di Amerika bisa milih   a) Ujian skripsi atau tesis b). Professional project, bisa dalam bentuk film dokumenter, tulisan jurnal, atau presentasi ilmiah, c). Ujian komprehensif, biasanya berbentuk tulisan";39;20;69;928;in;782565427691917312;1696475810465816588;thematrixisme;https://twitter.com/thematrixisme/status/1696497885662286262
Tue Aug 29 12:21:18 +0000 2023;1696498256862433613;"kenapa nggak dari dulu pak?😭";0;0;0;0;in;1235777160293449728;1696475810465816588;titiknolenglish;https://twitter.com/titiknolenglish/status/1696498256862433613
Tue Aug 29 12:29:10 +0000 2023;1696500236209037518;"alhamdulillah 😊 jadi banyak mahasiswa yg seneng... Dan ngurangi bundir gak si";0;0;0;0;in;1379557463456772097;1696475810465816588;jambumanis19;https://twitter.com/jambumanis19/status/1696500236209037518
Tue Aug 29 12:54:11 +0000 2023;1696506533977465138;"UT gak ada skripsi   Jaya jaya jaya";0;0;1;1;in;1643854237288534018;1696475810465816588;HobiPijatJogja;https://twitter.com/HobiPijatJogja/status/1696506533977465138
Tue Aug 29 13:31:10 +0000 2023;1696515840672465402;"Ga mewajibkan skripsi bukan berarti lu tinggal lulus gitu aja, engga gitu ya pergusooo 😭";0;0;0;1;in;969417110;1696475810465816588;itsmarwaa_;https://twitter.com/itsmarwaa_/status/1696515840672465402
Tue Aug 29 13:37:37 +0000 2023;1696517464379851136;"Kok baru sekarang ada peraturan ituu";0;1;0;0;in;1674295020785106944;1696475810465816588;KelinciKuy;https://twitter.com/KelinciKuy/status/1696517464379851136
Tue Aug 29 15:27:50 +0000 2023;1696545198346817943;"Gausa skripsi pak, syarat lulus harus hobi mancing";6;17;12;162;in;1111477704;1696475810465816588;intanorii;https://twitter.com/intanorii/status/1696545198346817943
Tue Aug 29 12:21:46 +0000 2023;1696498372654600231;"Nantia ada tugas akhir yg lain yg sama berat juga";0;0;0;1;in;1962234188;1696475810465816588;stxitch;https://twitter.com/stxitch/status/1696498372654600231
Tue Aug 29 12:25:47 +0000 2023;1696499385008599194;"😂😂 banyak yg kegocek...baca dan pahami...";0;0;0;1;in;1465606400474632199;1696475810465816588;Pai_C1;https://twitter.com/Pai_C1/status/1696499385008599194
Tue Aug 29 21:43:44 +0000 2023;1696639798688260109;"Alhamdulillah";0;0;0;0;in;1218759528465911808;1696475810465816588;ZzarPark61;https://twitter.com/ZzarPark61/status/1696639798688260109
Tue Aug 29 23:55:55 +0000 2023;1696673061888741768;"Wkwk coba dari dulu gini pak";0;0;0;1;in;1353029606551351298;1696475810465816588;satriarafisky;https://twitter.com/satriarafisky/status/1696673061888741768
Wed Aug 30 02:24:58 +0000 2023;1696710570974810133;"selo aza, dulu w adanya TA, Tugas Alhamdulillah untung kelar, sidangnya 3x, pameran sekali, ampun pak supir";0;0;0;0;in;43105835;1696475810465816588;fajarrusalem;https://twitter.com/fajarrusalem/status/1696710570974810133
Wed Aug 30 04:27:03 +0000 2023;1696741294192865504;"Alhamdulillah jadi mau kuliah lagi 😔 bismillahirrahmanirrahim dkv online 😭";0;0;0;0;in;2193792109;1696475810465816588;artxztic;https://twitter.com/artxztic/status/1696741294192865504
Tue Aug 29 12:18:18 +0000 2023;1696497503502581908;"Harusnya mah ini udah dari jaman gue mau skripsian ada aturannya 🥲";0;1;1;47;in;862771914;1696475810465816588;khairaumh;https://twitter.com/khairaumh/status/1696497503502581908
Tue Aug 29 12:15:10 +0000 2023;1696496712175767817;"gw yg baru aja sidang skripsi https://t.co/Pjv7cfckGC";0;0;0;3;in;1421393831149268994;1696475810465816588;univlox;https://twitter.com/univlox/status/1696496712175767817
Tue Aug 29 12:39:42 +0000 2023;1696502887382446460;"Tergantung kampusnya";0;0;0;2;in;1448251677518155783;1696475810465816588;pluviocorps;https://twitter.com/pluviocorps/status/1696502887382446460
Tue Aug 29 13:38:53 +0000 2023;1696517780554817633;"Apa ini bisa menghindari mahasiswa abadi";0;1;0;0;in;2931561007;1696475810465816588;tmembak;https://twitter.com/tmembak/status/1696517780554817633
Tue Aug 29 13:44:44 +0000 2023;1696519255083397122;"Ini ni yang di tunggu-tunggu https://t.co/dsedZvTsQ0";0;1;0;0;in;2931512462;1696475810465816588;gacoazn;https://twitter.com/gacoazn/status/1696519255083397122
Tue Aug 29 16:20:06 +0000 2023;1696558352006803692;"Udah lulus baru ada aturan gini, buat skripsi susah bangt huhuhuhu";0;2;0;12;in;1661724324716503040;1696475810465816588;kellambu;https://twitter.com/kellambu/status/1696558352006803692
Wed Aug 30 01:33:11 +0000 2023;1696697542778708094;"Yang udah lulus pasti iri, aku aku aku wkwk";0;0;0;0;in;518418159;1696475810465816588;hyaluronicc__;https://twitter.com/hyaluronicc__/status/1696697542778708094
Tue Aug 29 11:13:57 +0000 2023;1696481309647053250;"dulu gw lulus SMA, kemudia ujian nasional dihapus, sekarang gw lulus kuliah, skripsi dihapus anjing. napa ga pas masa gw dihapusnta tolol";24;41;96;867;in;1490361012062547968;1696475810465816588;fallingmonstar;https://twitter.com/fallingmonstar/status/1696481309647053250
Tue Aug 29 12:12:25 +0000 2023;1696496022816739800;"@mirrii00 nih";0;1;0;0;und;244870580;1696475810465816588;tebarratjun;https://twitter.com/tebarratjun/status/1696496022816739800
Tue Aug 29 11:58:00 +0000 2023;1696492394273992997;"Terus tugas akhirnya diganti apa?";0;31;0;16;in;1862760085;1696475810465816588;speachace;https://twitter.com/speachace/status/1696492394273992997
Tue Aug 29 13:39:51 +0000 2023;1696518026647253147;"Mahasiswa abadi auto kegirangan nih";0;1;0;0;in;2757404633;1696475810465816588;glvoves;https://twitter.com/glvoves/status/1696518026647253147
Wed Sep 20 17:19:32 +0000 2023;1704545843171225752;"RT @LarryFitzgerald: As the OG No. 11, scoring a free ticket when you buy 10 from @vividseats is a game changer.   Thanks for the 11th free…";0;0;51;0;en;121820296;1704545843171225752;VividSeats;https://twitter.com/VividSeats/status/1704545843171225752
Tue Aug 29 13:43:14 +0000 2023;1696518877717643633;"Kenapa baru sekarang sih pak 😭🖐🏻";0;1;0;2;in;53225487;1696475810465816588;trennd;https://twitter.com/trennd/status/1696518877717643633
Tue Aug 29 14:21:18 +0000 2023;1696528457579245659;"skripsi diganti uninstall tiktok selama setahun, sejatinya dah cukup tuk menyelesaikan beberapa problematika dan mencerdaskan bangsa";0;0;3;19;in;591055904;1696475810465816588;SBKCF;https://twitter.com/SBKCF/status/1696528457579245659
Tue Aug 29 11:27:57 +0000 2023;1696484832006873356;"Sekalian aja hapus universitasnya 🤣🤣🤣";0;2;0;40;in;227338214;1696475810465816588;feminika4real;https://twitter.com/feminika4real/status/1696484832006873356
Tue Aug 29 13:42:22 +0000 2023;1696518658775011757;"@rattibha screenshot this.";0;1;0;0;en;1660417965689548802;1696475810465816588;PhilosesG;https://twitter.com/PhilosesG/status/1696518658775011757
Tue Aug 29 18:13:57 +0000 2023;1696587002190369024;"keren";0;0;0;0;hu;193203529;1696475810465816588;anjasopo;https://twitter.com/anjasopo/status/1696587002190369024
Tue Aug 29 12:20:49 +0000 2023;1696498137173795291;"Tesis jg gak neh? Kl diapus juga mo S2 neh wkwk";0;1;0;1;in;162307938;1696475810465816588;atma_kpm;https://twitter.com/atma_kpm/status/1696498137173795291
Tue Aug 29 13:40:46 +0000 2023;1696518255173943433;"Bukan menjadi syarat utama ya ?";0;2;0;2;in;1558297726965915649;1696475810465816588;dea_ordinals;https://twitter.com/dea_ordinals/status/1696518255173943433
Tue Aug 29 12:36:37 +0000 2023;1696502110790316456;"Uhhh, I have mixed feeling about this";0;1;0;65;en;1968498230;1696475810465816588;pramitayaa;https://twitter.com/pramitayaa/status/1696502110790316456
Tue Aug 29 12:26:15 +0000 2023;1696499502696554846;"tugas akhirnya diganti aja, budidaya bonsai kangkung";1;3;4;68;in;67322949;1696475810465816588;akbarkharirie;https://twitter.com/akbarkharirie/status/1696499502696554846
Tue Aug 29 12:29:47 +0000 2023;1696500389892215139;"mari ganti skripsi dengan budidaya lele";4;4;24;145;in;911051867395833856;1696475810465816588;opinijelek;https://twitter.com/opinijelek/status/1696500389892215139
Tue Aug 29 11:11:01 +0000 2023;1696480568677196059;"pembimbing sama penguji gak dapet amplop sama nasi kotak lagi mampuss";0;5;1;21;in;1167041926601695232;1696475810465816588;Ratat4x;https://twitter.com/Ratat4x/status/1696480568677196059
Tue Aug 29 14:13:07 +0000 2023;1696526396280254747;"kenapa gak dari dlu pak peraturannya";0;1;3;31;in;2503175474;1696475810465816588;subzerooox;https://twitter.com/subzerooox/status/1696526396280254747
Wed Aug 30 12:16:16 +0000 2023;1696859378606022776;"Kampus w dari tahun kemarin nerapin jurnal buat TA, gk ada skripsi lagi, cuman yang jdi permasalahan nya... waw biayanya hebat :)";0;0;0;0;in;3010198861;1696475810465816588;solo_solocis;https://twitter.com/solo_solocis/status/1696859378606022776
Tue Aug 29 15:31:20 +0000 2023;1696546078479511678;"Sejak dulu harusnya skripsi itu diganti dengan tugas kliping aja 😂";0;0;0;1;in;228660517;1696475810465816588;infoPLK;https://twitter.com/infoPLK/status/1696546078479511678
Tue Aug 29 11:15:51 +0000 2023;1696481785176363036;"Pdhal skripsi itu jadi 'pembeda' cara pikir sistematis dgn yg non skripsi, ini menteri harusnya sdh diganti dari awal bikin pelajar tdk pny daya kompetisi";0;1;0;3;in;208864321;1696475810465816588;aminoto7;https://twitter.com/aminoto7/status/1696481785176363036
Tue Aug 29 11:20:47 +0000 2023;1696483029370495116;"Wes rausa dilanjutke skripsine @rusaimutt @MaulanaPoji @mmmmahli";0;1;0;0;in;998430443698438144;1696475810465816588;gloomypleasure;https://twitter.com/gloomypleasure/status/1696483029370495116
Tue Aug 29 11:32:00 +0000 2023;1696485850358718904;"Jangan terkecoh judul https://t.co/oUSQryUw1h";0;4;0;6;in;601789754;1696475810465816588;roysahatta;https://twitter.com/roysahatta/status/1696485850358718904
Tue Aug 29 11:37:10 +0000 2023;1696487151771541943;"yaa ga dapet cuan lg dong tukang nyadur skripsi orang...dosen  penguji..pembimbing yg tiap acc minta cuan...bukan di berantas tikusnya ini malah di bakar lumbungnya...mo  jadi apa mahasiswa sekarang....";0;0;1;0;in;1097372338507509760;1696475810465816588;MOHAMAD26051170;https://twitter.com/MOHAMAD26051170/status/1696487151771541943
Tue Aug 29 11:38:14 +0000 2023;1696487419586220033;"prodi-ku udh nerapin ini. kelulusan bisa ditempuh lewat jalur skripsi, artikel ilmiah, dan karya sastra. bahkan dosen-dosen aku oprec buat mahasiswa yg mau ikut riset terus bikin jurnal sampe terbit ke sinta 2 dan bisa diajukan untuk sidang kelulusan.";0;0;0;4;in;1352932285155168256;1696475810465816588;fvckkklyfe;https://twitter.com/fvckkklyfe/status/1696487419586220033
Tue Aug 29 11:05:49 +0000 2023;1696479258816979125;"Sekalian aja gak usah kuliah, langsung kasih gelar aja seperti kalian ngasih gelar kepada yang terhormat dan tercinta anak presiden pertama sang jenius dan terhebat sedunia akhirat ibu Megawati Soekarno Putri.";0;1;0;0;in;1345767247051071492;1696475810465816588;tommiyes;https://twitter.com/tommiyes/status/1696479258816979125
Tue Aug 29 11:08:51 +0000 2023;1696480023321206821;":)";0;1;0;0;qam;3404434813;1696475810465816588;dertiennn;https://twitter.com/dertiennn/status/1696480023321206821
Tue Aug 29 11:17:03 +0000 2023;1696482089124954565;"Multi tafsir wkwk.  1. Bisa jadi skripsi di hapus 2. Bisa jadi boleh susun skripsi di semester lebih awal 3. Tak wajibkan berarti bisa juga di akhir semester 4. Baca dulu beritanya wkwk";0;0;0;48;in;1527782110978711553;1696475810465816588;yusiminow;https://twitter.com/yusiminow/status/1696482089124954565
Tue Aug 29 11:38:49 +0000 2023;1696487563782234134;"ujung2nya ....  SETIAP PELAJAR/MAHASISWA YANG LULUS TIDAK DIWAJIBKAN MEMILIKI IJAZAH  🤣🤣🤣";1;1;0;8;in;1604091267834474498;1696475810465816588;Muslim_AntiPKI9;https://twitter.com/Muslim_AntiPKI9/status/1696487563782234134
Tue Aug 29 11:38:59 +0000 2023;1696487607973335157;"https://t.co/8IDmBM7mJY";0;0;0;2;qme;1517354972848877568;1696475810465816588;AndosKratos;https://twitter.com/AndosKratos/status/1696487607973335157
Tue Aug 29 11:40:21 +0000 2023;1696487952812286088;"@mycatisgr 😀😁";0;1;0;0;qme;2922568320;1696475810465816588;iceuhhh;https://twitter.com/iceuhhh/status/1696487952812286088
Tue Aug 29 11:42:46 +0000 2023;1696488561514848739;"@apulk666t mari kita berdoa";0;1;0;0;in;1228852708242677760;1696475810465816588;miqsui;https://twitter.com/miqsui/status/1696488561514848739
Tue Aug 29 11:46:24 +0000 2023;1696489471964016896;"🤣 @lunnartfolio";0;1;0;1;qme;3403573407;1696475810465816588;fahriafahri;https://twitter.com/fahriafahri/status/1696489471964016896
Tue Aug 29 11:48:06 +0000 2023;1696489901431386409;"@natadhecocow";0;1;0;0;qam;1169177483326808065;1696475810465816588;Tatsatsa;https://twitter.com/Tatsatsa/status/1696489901431386409
Tue Aug 29 11:54:06 +0000 2023;1696491409736654935;"idih najis telat ego lu";0;1;0;1;in;241433810;1696475810465816588;anggerkalingga;https://twitter.com/anggerkalingga/status/1696491409736654935
Tue Aug 29 13:25:08 +0000 2023;1696514321495547919;"@Mas2BiasaAjaa basii";0;1;0;0;tr;1186230408976818177;1696475810465816588;spirit_punx;https://twitter.com/spirit_punx/status/1696514321495547919
Tue Aug 29 11:20:16 +0000 2023;1696482898927632859;"Yang males baca, Ini saya kasi inti beritanya:  "Tugas akhir bisa berbentuk macam-macam, bisa berbentuk prototipe, proyek, bisa berbentuk lainnya, bukan hanya skripsi tesis dan disertasi. Keputusan ini ada di perguruan tinggi"";1;1;1;28;in;126257525;1696475810465816588;summerissuminar;https://twitter.com/summerissuminar/status/1696482898927632859
Tue Aug 29 11:28:54 +0000 2023;1696485070981476794;"Giliran udah lulus baru dihapus anjing.";0;1;0;1;in;3338036653;1696475810465816588;kanjut4life;https://twitter.com/kanjut4life/status/1696485070981476794
Tue Aug 29 11:47:57 +0000 2023;1696489863955235237;"Judul yg bener harusnya "Skripsi bisa di ganti dengan tugas lain sebagai syarat kelulusan Mahasiswa"";0;1;0;1;in;313178249;1696475810465816588;Nandapagi;https://twitter.com/Nandapagi/status/1696489863955235237
Tue Aug 29 12:15:30 +0000 2023;1696496797051740311;"Nah ini, usul saya dari dulu. Walaupun saya lulus tepat waktu lewat skripsi saat S1 dan tesis saat S2, tapi saya sedih lihat teman kuliah saya yg akhirnya DO karena tidak menyelesaikan skripsi sampai batas waktu yg ditentukan";0;1;1;1;in;1447472539219861504;1696475810465816588;sidejob_job;https://twitter.com/sidejob_job/status/1696496797051740311
Tue Aug 29 12:28:16 +0000 2023;1696500010589003892;"smp dak ad un sma ubtk tps kuliah";0;1;0;1;in;1538298822371442688;1696475810465816588;qulukuluq;https://twitter.com/qulukuluq/status/1696500010589003892
Tue Aug 29 12:35:56 +0000 2023;1696501939562016998;"Jangan senang dulu kisanak, memang tesis dihapus tapi diganti penelitian wajib publikasi (itu pun kalau lolos submit). Tapi setidaknya tugas akhir yg diganti penelitian wajib publikasi gini lebih berkualitas dibanding yang sudah-sudah.";0;0;0;4;in;1232219615129767937;1696475810465816588;iwahyudis;https://twitter.com/iwahyudis/status/1696501939562016998
Tue Aug 29 12:40:25 +0000 2023;1696503066688905639;"Alhamdulillah kalo begitu 😭";0;1;0;2;in;1586553737157353472;1696475810465816588;mylevelitsA;https://twitter.com/mylevelitsA/status/1696503066688905639
Tue Aug 29 12:43:43 +0000 2023;1696503897245012356;"Dimulainya kapan nih pak nadiem?";0;2;0;0;in;1286922819020832768;1696475810465816588;kyungsui;https://twitter.com/kyungsui/status/1696503897245012356
Tue Aug 29 12:54:23 +0000 2023;1696506581259854302;"Yang udah lulus, udah jangan di sesali. Pd akhirnya nnti lamar kerja juga masih akan sulit😅😅";0;2;0;79;in;456440913;1696475810465816588;5ync0;https://twitter.com/5ync0/status/1696506581259854302
Wed Aug 30 02:15:46 +0000 2023;1696708256247460328;"Ini mah "RENAME" Doang pak wkwk";0;1;0;0;in;1692581201389969408;1696475810465816588;cekajadulugih;https://twitter.com/cekajadulugih/status/1696708256247460328
Wed Aug 30 09:55:45 +0000 2023;1696824015414084054;"Di kampus seni Indonesia jg udah begini, skripsi jadi Tugas Karya Akhir. Memamg buat bbrp jurusan lebih pas bukan skripsi.";0;0;0;0;in;58451697;1696475810465816588;omsis;https://twitter.com/omsis/status/1696824015414084054
Tue Aug 29 12:18:48 +0000 2023;1696497627142250539;"skipsi lagi capek capeknya, kluar berita gini sedikit menghibur jiwaku";0;0;0;0;in;1203654052027883523;1696475810465816588;syiliiin;https://twitter.com/syiliiin/status/1696497627142250539
Tue Aug 29 15:55:05 +0000 2023;1696552055522120015;"Yah udeh lulus";0;0;0;0;in;958977875536785409;1696475810465816588;jonrobbani;https://twitter.com/jonrobbani/status/1696552055522120015
Tue Aug 29 11:39:24 +0000 2023;1696487711887298797;"Gais baca beritanya skripsi gak dihapus ya gais, tapi bukan lagi menjadi syarat dan itu kembali lagi ke universitas masing-masing. Lagian katanya “tidak mewajibkan” jadi ya bukan berarti dihilangkan.";0;0;0;0;in;1607212074685599744;1696475810465816588;ClipsAnggara;https://twitter.com/ClipsAnggara/status/1696487711887298797
Tue Aug 29 13:24:00 +0000 2023;1696514034894623036;"Mulai di ganti dgn Proyek, d banding paper mulu";0;0;0;0;in;1114599489208180736;1696475810465816588;ComebackGobang;https://twitter.com/ComebackGobang/status/1696514034894623036
Tue Aug 29 12:39:49 +0000 2023;1696502916344160687;"What 😅";0;0;0;0;en;1445154547555454986;1696475810465816588;ymn5668;https://twitter.com/ymn5668/status/1696502916344160687
Tue Aug 29 15:03:23 +0000 2023;1696539046531715433;"What the faaaaakkk 😂";0;0;0;0;en;482659124;1696475810465816588;iffaafiffah;https://twitter.com/iffaafiffah/status/1696539046531715433
Wed Aug 30 05:36:42 +0000 2023;1696758823728586830;"What the hellllll";0;0;0;0;en;1200056585801756672;1696475810465816588;FugaZaitsev;https://twitter.com/FugaZaitsev/status/1696758823728586830
Wed Aug 30 04:54:41 +0000 2023;1696748248940311026;"Apa ya yang menjadi komponen pengganti skripsi ? Apakah jurnaling?";0;0;0;0;in;1395378418410164231;1696475810465816588;AmbisBareng;https://twitter.com/AmbisBareng/status/1696748248940311026
Tue Aug 29 22:58:13 +0000 2023;1696658542252658713;"What the hell? What a mess";0;0;0;0;en;1266309426;1696475810465816588;nomatterwhatmr;https://twitter.com/nomatterwhatmr/status/1696658542252658713
Wed Aug 30 03:17:00 +0000 2023;1696723666464366854;"Cerdas!";0;0;0;0;es;1305527664875241472;1696475810465816588;JANUARD_1;https://twitter.com/JANUARD_1/status/1696723666464366854
Tue Aug 29 11:36:20 +0000 2023;1696486940617703851;"yg bener pak, mumpung masih bab 3 ni........";0;0;0;0;in;862323906;1696475810465816588;rio_rta;https://twitter.com/rio_rta/status/1696486940617703851
Tue Aug 29 11:38:20 +0000 2023;1696487443321754066;"setuju, buat sekolah IT mendingan buat tugas akhir proyek yang bisa dipake buat porto juga😁";0;0;0;0;in;153044106;1696475810465816588;hisyamkazim;https://twitter.com/hisyamkazim/status/1696487443321754066
Tue Aug 29 11:38:57 +0000 2023;1696487597173092859;"waduh...  gk ada alasan lg nih buat lama2 kuliah";0;0;0;0;in;335833696;1696475810465816588;Dasef22;https://twitter.com/Dasef22/status/1696487597173092859
Tue Aug 29 11:39:24 +0000 2023;1696487713678258645;"sebuah kemunduran 👏";0;0;0;0;in;2942445499;1696475810465816588;wadah_sangu;https://twitter.com/wadah_sangu/status/1696487713678258645
Tue Aug 29 11:39:57 +0000 2023;1696487849955303714;"Yuk undur”";0;0;0;0;in;963114522;1696475810465816588;h3ndrayoga;https://twitter.com/h3ndrayoga/status/1696487849955303714
Tue Aug 29 11:44:06 +0000 2023;1696488894861328421;"Sejak kau jadi mendikbudristek kacau balau dunia pendidikan..taik sama mu..udah urus gojek aja kau";0;0;0;0;in;1603686954012315648;1696475810465816588;openmindzero0;https://twitter.com/openmindzero0/status/1696488894861328421
Tue Aug 29 11:44:21 +0000 2023;1696488957503262798;"Kurikulum berkiblat scopus tapi TA berkiblat "as you can do" 🤣 Please, klo mau bikin ginian mending bedain dulu gih tipe kampus di lokal antara university &amp  college. Kalo gini mah ibarat menyamaratakan SMA &amp  SMK. Udah dikata, he only know abt business.";0;0;0;0;in;1527130514133766144;1696475810465816588;naapenaa;https://twitter.com/naapenaa/status/1696488957503262798
Tue Aug 29 11:45:46 +0000 2023;1696489315759694037;"gw bingung aturan sekarang, sd - sma ga perlu ujian lagi trus mahasiswa ga perlu skripsi lagi.. gimana mau test calon lulusan tiap tingkat didik ya?";0;0;0;0;in;57566802;1696475810465816588;GadgetCornerSVC;https://twitter.com/GadgetCornerSVC/status/1696489315759694037
Tue Aug 29 12:01:40 +0000 2023;1696493316999921981;"Bagaimana nanti kalau mereka mahasiswa bekerja dengan mengharuskan membuat laporan atau sejenisnya, apakah dapat menyelesaikannya tanpa diadakannya skripsi?. Jadi lebih baik jangan dihapus min";0;1;0;0;in;2357198946;1696475810465816588;learnsoachieve;https://twitter.com/learnsoachieve/status/1696493316999921981
Tue Aug 29 12:02:01 +0000 2023;1696493403062833528;"Alah udah lama wkwkw";0;1;0;0;in;1021389278767546368;1696475810465816588;andla_la;https://twitter.com/andla_la/status/1696493403062833528
Tue Aug 29 12:12:30 +0000 2023;1696496040495763650;"Telat ah";0;0;0;1;in;3184307786;1696475810465816588;Wisky_Am;https://twitter.com/Wisky_Am/status/1696496040495763650
Tue Aug 29 12:12:44 +0000 2023;1696496098981159245;"wkwkwkwk @dikamarngantuk @vieritalee";0;1;0;0;in;4466785820;1696475810465816588;catastrooophic;https://twitter.com/catastrooophic/status/1696496098981159245
Tue Aug 29 12:15:27 +0000 2023;1696496786385621097;"pak kalo thesis wajib ga pak?";0;2;0;0;in;1236911597596995590;1696475810465816588;oupheliac;https://twitter.com/oupheliac/status/1696496786385621097
Tue Aug 29 12:22:25 +0000 2023;1696498537918611861;"@bismahanggonor sing mbok enteni bis";0;1;0;0;in;1011497860997660672;1696475810465816588;FoxtrZal;https://twitter.com/FoxtrZal/status/1696498537918611861
Tue Aug 29 12:23:41 +0000 2023;1696498856966627708;"hohohoho... betapa kita adalah orang2 tak beruntung di tahun2 sebelumnya.. beban SKS 160 + KKN bbrp bulan + Skripsi + dosen yg killer.  Tesis? 2 tahun itu langka kelar S2...skrg? 1,5 tahun sdh Magister. Gmn kalau Tesis tak ada lg? Lalu RISTEK itu dibagian mana?";0;0;1;0;in;332775147;1696475810465816588;BarthoSihombing;https://twitter.com/BarthoSihombing/status/1696498856966627708
Tue Aug 29 12:26:41 +0000 2023;1696499610242760774;"Skalian IPK kurang dri 2 bisa jdi doktoranbus &amp  ingsingyur, pak? 😁😁😁";0;0;1;0;in;1644530194936631296;1696475810465816588;UdaganMuttaqin;https://twitter.com/UdaganMuttaqin/status/1696499610242760774
