;content
98;ejak kau jadi mendikbudristek kacau balau dunia pendidikan  taik sama mu  udah urus gojek aja kau
99;urikulum berkiblat scopus tapi ta berkiblat as you can do  🤣 please  klo mau bikin ginian mending bedain dulu gih tipe kampus di lokal antara university  amp college  kalo gini mah ibarat menyamaratakan sma  amp smk  udah dikata  he only know abt business  
100;w bingung aturan sekarang  sd   sma ga perlu ujian lagi trus mahasiswa ga perlu skripsi lagi   gimana mau test calon lulusan tiap tingkat didik ya 
101;agaimana nanti kalau mereka mahasiswa bekerja dengan mengharuskan membuat laporan atau sejenisnya  apakah dapat menyelesaikannya tanpa diadakannya skripsi   jadi lebih baik jangan dihapus min
102;lah udah lama wkwkw
103;elat ah
104;kwkwkwk 
105;ak kalo thesis wajib ga pak 
106;bismahanggonor sing mbok enteni bis
107;ohohoho    betapa kita adalah orang tak beruntung di tahun sebelumnya   beban sks    kkn bbrp bulan   skripsi   dosen yg killer  tesis   tahun itu langka kelar s   skrg    tahun sdh magister  gmn kalau tesis tak ada lg  lalu ristek itu dibagian mana 
108;kalian ipk kurang dri  bisa jdi doktoranbus  amp ingsingyur  pak  😁😁😁
109;iganti sama rank tertinggi aja bisa ga mas menteri😅🙏🏻
110;p sinta dan scopus  ya sama aja 😂 malah skipsi lbh gmpng
111;pa skripsi mau diganti konten video tik tok    ancurrrrrr  gue kuliah   tahun karena skripsi yg molor  dan proses skripsi itu benar menempa  mengasah     ehhhh skrg enak kaliiii     bilang aja lowongan kerja sempit  ngapain kuliah lama skripsi 
112;ih apaan banget   tiap lulus keknya begini ya
113;ah trus apa guna y hhhh
114;
115;enarik
116;entri kristen ini awal mulanya dulu hapus kurikulum  ppkn dll   
117;jir
118;ah              kookkkkkk
119;ak lanjut ra iki skripsi ku🤔
120;uk bisa yukk   kapan disahinnya pak 🙃
121;ebenarnya skripsi untuk s itu bagus  tapi pengujian yang cenderung ke arah penghakiman daripada pendampingan itulah yang membuat skripsi s seolah jadi hantu bagi mahasiswa 
122;on   lulusan unipersity tapi ga bisa nulis karya ilmiah      bgamana dia bisa dinilai dapat menyampaikan gagasan secara sistematis dan berdasarkan keilmuan yg dpt diuji pertanggung jawabannya   
123;as lulus sekolah gedung di bangun pas udah kuliah skripsi udah tidak jadi bahan acuan ke lulusan  kenapa si semua pada kelewat mulu  gak pernah saya menikmati fasilitas yang ada 😭
124;ergantung univ dan fakultasnya yuhu  
125;etep aja buat jurnal sinta 
126;crulean lo telat
127;muhammadd  
128;ata gua sih lu gak boleh marah yaa 
129;uliah lagi apa ya kalo udah resmi peraturannya🥲
130;ontol
131;lo yang kemenag gimana  😂
132;ug kok ga bien bien
133;ugas akhir bisa berbentuk macam macam  bisa berbentuk prototipe  proyek  bisa berbentuk lainnya  bukan hanya skripsi tesis dan disertasi  keputusan ini ada di perguruan tinggi       in   raihanhan  tue aug         padahal pendidikan adalah tiang bangsa dan negara  malah begini 😂🤌🏻 
134;rwrwr
135;sw barusan gw lulus👍
136;ue baru kelar ngerjain skripsi wehhh
137;adahal seru
138;am skolah di ubah dong pak
139;scisyphus yg benerrrr
140;ara joki ketar ketir
141;usak generasi di bawah nadiem
142;ttps   t co jvgnruz
143;oleh tahun sekarang tidak 
144;nggak seru ah
145;ang bener luuuu    
146;gok
147;ara penjoki skripsi ketar ketir
148;elat elahhh
149;adahal bukan dihapus  tp bisa diganti dg pertimbangan lain sesuai kemampuan ataupun karya mahasiswanya  hmm 😌
150;ebiasaan cnn menggiring 
151;ambah kemontol ngkok kelakuan e fresh graduate 🤡
152;oy asu 
153;isa gak sih cepetan disah in klo bisa semester ganjil ini hehe🙏
154;alo yang ngoding gimana packkk
155;kripsi dihapus tugas akhir tetap jalan 😆
156;idak setuju  apaaan terus apa kebanggan dari kuliah   justru skripsi itu yg bikin mahasiswa banyak belajar dan sebuah karya ilmiah mahasiswa yg bisa di banggakan  tks
157;kripsi ganti aja deng main tiktok 
158;es
159;aru kemarin sidang skripsi babi  tp yaudahla  congrats klo beneran  toh udh yudisium 
160;eal  temenku skripsinya diganti intern 
161;g dihapus tuh seharusnya sidangnya
162;ukan pelemahan kemampuan berpikir kritis mahasiswa ni pak  
163;balabalasarebu
164; 
165;a emang   sejak dulu misal di rumpun seni  bisa diganti sama tugas akhir  terus pasca mbkm  juga skripsi bisa diganti dengan project  yg tentu luarannya tetap ada artikel ilmiah atau portofolio lainnya 
166;etuju
167;a bisa ber word word lagi
168;antap perjuangan sdh setara sd smp sma 
169;ak bisa ga temen yg dteng cuma maunya doang itu di hapus jg dri bumi
170;mmm menarik 😃
171;nak amat di genti apaaan tugas akhirny
172; 
173;adahl barusan kelar sidang wht the pack mennn😅😂  
174;ah pak kmrn saya baru selesai sidang skrg lg revisi   kenapa baru kasi tau skrg                 ¿¿¿¿
175;aaf oot  temen temen boleh minta bantuan nya untuk up kitabisa keponakanku dibawah ini kah  🙏 
176;aa
177;uset baru aja gue ngumpulin skripsi ke perpus univ gueh
178;ak yang s juga dong ygy ge 
179;enapaaaa pas gua udah lulus    😭 perjuangan skripsi   taun  sampe telat lulus😭😭😭😭😭😭😭😭😭😭😭
